Year,FIPS,spatmax_prev,spatmean_prev
2011,1001,25.204500148935683,16.526161080166233
2011,1003,26.09671442365406,16.138937030367945
2011,1005,,
2011,1007,25.204500148935683,15.378683722135241
2011,1009,50.72885427390597,22.318994792333793
2011,1011,7.847822011396781,7.847822011396781
2011,1013,,
2011,1015,17.944086227315687,14.717518551750345
2011,1017,,
2011,1019,26.522001205545507,19.381678690965956
2011,1021,13.327523899838532,13.327523899838532
2011,1023,,
2011,1025,14.264943900364855,14.264943900364855
2011,1027,,
2011,1029,48.64489228630994,27.51700532155003
2011,1031,,
2011,1033,11.86508321737911,11.86508321737911
2011,1035,26.09671442365406,26.09671442365406
2011,1037,25.204500148935683,19.26601202438711
2011,1039,26.09671442365406,18.302142702530595
2011,1041,7.847822011396781,7.847822011396781
2011,1043,50.72885427390597,27.74606177474222
2011,1045,12.801953775099214,12.801953775099214
2011,1047,25.204500148935683,25.204500148935683
2011,1049,14.54418523474315,13.017568055464077
2011,1051,25.204500148935683,16.526161080166233
2011,1053,15.194355627196575,12.847718084202214
2011,1055,17.944086227315687,17.700051068060194
2011,1057,50.72885427390597,32.2997386608721
2011,1059,,
2011,1061,12.801953775099214,12.801953775099214
2011,1063,13.870623047838238,13.870623047838238
2011,1065,13.870623047838238,13.870623047838238
2011,1067,12.801953775099214,12.801953775099214
2011,1069,,
2011,1071,10.453658929963472,10.453658929963472
2011,1073,50.72885427390597,22.663279281064007
2011,1075,,
2011,1077,16.91188905800778,16.91188905800778
2011,1079,16.91188905800778,14.613664789761986
2011,1081,14.219132632909394,14.219132632909394
2011,1083,15.064022093899071,12.460921413747217
2011,1085,7.847822011396781,7.847822011396781
2011,1087,7.847822011396781,7.847822011396781
2011,1089,16.91188905800778,15.987955575953425
2011,1091,,
2011,1093,50.72885427390597,50.72885427390597
2011,1095,17.44530895642162,13.613485214117292
2011,1097,30.071311968382165,22.16812793437351
2011,1099,26.09671442365406,20.18082916200946
2011,1101,,
2011,1103,16.91188905800778,13.682773993985627
2011,1105,25.204500148935683,25.204500148935683
2011,1107,13.870623047838238,13.870623047838238
2011,1109,7.847822011396781,7.847822011396781
2011,1111,17.1903697739014,17.1903697739014
2011,1113,14.219132632909394,14.219132632909394
2011,1115,17.710758020443276,13.817325908963388
2011,1117,25.204500148935683,17.420224722726626
2011,1119,,
2011,1121,17.944086227315687,16.327456049199167
2011,1123,,
2011,1125,50.72885427390597,29.92047103291724
2011,1127,17.44530895642162,13.476006598729457
2011,1129,14.264943900364855,12.580519369987169
2011,1131,,
2011,1133,50.72885427390597,50.72885427390597
2011,2013,,
2011,2016,,
2011,2020,11.23658632507444,11.23658632507444
2011,2050,11.23658632507444,11.23658632507444
2011,2060,,
2011,2068,11.23658632507444,10.742241472146674
2011,2070,,
2011,2090,,
2011,2100,,
2011,2105,,
2011,2110,,
2011,2122,13.021457992091175,12.129022158582806
2011,2130,,
2011,2150,,
2011,2164,,
2011,2170,13.021457992091175,13.021457992091175
2011,2180,,
2011,2185,,
2011,2188,,
2011,2195,,
2011,2198,,
2011,2220,,
2011,2230,,
2011,2240,11.23658632507444,10.742241472146674
2011,2261,13.021457992091175,12.129022158582806
2011,2270,,
2011,2275,,
2011,2282,,
2011,2290,11.23658632507444,10.742241472146674
2011,4001,17.682807657586388,15.426942076982337
2011,4003,20.912755046349805,20.912755046349805
2011,4005,33.96840937927728,23.026629126495433
2011,4007,21.79753877355674,16.479538509644676
2011,4009,20.912755046349805,17.81956093120099
2011,4011,18.272349367319904,18.272349367319904
