,Year,fipscounty,spatmax,spatmean
0,2010,01001,25.204500148935683,16.526161080166233
1,2010,01003,26.09671442365406,16.138937030367945
2,2010,01005,,
3,2010,01007,25.204500148935683,15.378683722135241
4,2010,01009,50.72885427390597,22.318994792333793
5,2010,01011,7.847822011396781,7.847822011396781
6,2010,01013,,
7,2010,01015,17.944086227315687,14.717518551750345
8,2010,01017,,
9,2010,01019,26.522001205545507,19.381678690965956
10,2010,01021,13.327523899838532,13.327523899838532
11,2010,01023,,
12,2010,01025,14.264943900364855,14.264943900364855
13,2010,01027,,
14,2010,01029,48.64489228630994,27.51700532155003
15,2010,01031,,
16,2010,01033,11.86508321737911,11.86508321737911
17,2010,01035,26.09671442365406,26.09671442365406
18,2010,01037,25.204500148935683,19.26601202438711
19,2010,01039,26.09671442365406,18.302142702530595
20,2010,01041,7.847822011396781,7.847822011396781
21,2010,01043,50.72885427390597,27.74606177474222
22,2010,01045,12.801953775099214,12.801953775099214
23,2010,01047,25.204500148935683,25.204500148935683
24,2010,01049,14.54418523474315,13.017568055464077
25,2010,01051,25.204500148935683,16.526161080166233
26,2010,01053,15.194355627196575,12.847718084202214
27,2010,01055,17.944086227315687,17.700051068060194
28,2010,01057,50.72885427390597,32.2997386608721
29,2010,01059,,
30,2010,01061,12.801953775099214,12.801953775099214
31,2010,01063,13.870623047838238,13.870623047838238
32,2010,01065,13.870623047838238,13.870623047838238
33,2010,01067,12.801953775099214,12.801953775099214
34,2010,01069,,
35,2010,01071,10.453658929963472,10.453658929963472
36,2010,01073,50.72885427390597,22.663279281064007
37,2010,01075,,
38,2010,01077,16.91188905800778,16.91188905800778
39,2010,01079,16.91188905800778,14.613664789761986
40,2010,01081,14.219132632909394,14.219132632909394
41,2010,01083,15.064022093899071,12.460921413747217
42,2010,01085,7.847822011396781,7.847822011396781
43,2010,01087,7.847822011396781,7.847822011396781
44,2010,01089,16.91188905800778,15.987955575953425
45,2010,01091,,
46,2010,01093,50.72885427390597,50.72885427390597
47,2010,01095,17.44530895642162,13.613485214117292
48,2010,01097,30.071311968382165,22.16812793437351
49,2010,01099,26.09671442365406,20.18082916200946
50,2010,01101,,
51,2010,01103,16.91188905800778,13.682773993985627
52,2010,01105,25.204500148935683,25.204500148935683
53,2010,01107,13.870623047838238,13.870623047838238
54,2010,01109,7.847822011396781,7.847822011396781
55,2010,01111,17.1903697739014,17.1903697739014
56,2010,01113,14.219132632909394,14.219132632909394
57,2010,01115,17.710758020443276,13.817325908963388
58,2010,01117,25.204500148935683,17.420224722726626
59,2010,01119,,
60,2010,01121,17.944086227315687,16.327456049199167
61,2010,01123,,
62,2010,01125,50.72885427390597,29.92047103291724
63,2010,01127,17.44530895642162,13.476006598729457
64,2010,01129,14.264943900364855,12.580519369987169
65,2010,01131,,
66,2010,01133,50.72885427390597,50.72885427390597
67,2010,02013,,
68,2010,02016,,
69,2010,02020,11.23658632507444,11.23658632507444
70,2010,02050,11.23658632507444,11.23658632507444
71,2010,02060,,
72,2010,02068,11.23658632507444,10.742241472146674
73,2010,02070,,
74,2010,02090,,
75,2010,02100,,
76,2010,02105,,
77,2010,02110,,
78,2010,02122,13.021457992091175,12.129022158582806
79,2010,02130,,
80,2010,02150,,
81,2010,02164,,
82,2010,02170,13.021457992091175,13.021457992091175
83,2010,02180,,
84,2010,02185,,
85,2010,02188,,
86,2010,02195,,
87,2010,02198,,
88,2010,02220,,
89,2010,02230,,
90,2010,02240,11.23658632507444,10.742241472146674
91,2010,02261,13.021457992091175,12.129022158582806
92,2010,02270,,
93,2010,02275,,
94,2010,02282,,
95,2010,02290,11.23658632507444,10.742241472146674
96,2010,04001,17.682807657586388,15.426942076982337
97,2010,04003,20.912755046349805,20.912755046349805
98,2010,04005,33.96840937927728,23.026629126495433
99,2010,04007,21.79753877355674,16.479538509644676
100,2010,04009,20.912755046349805,17.81956093120099
101,2010,04011,18.272349367319904,18.272349367319904
102,2010,04012,33.96840937927728,15.347084241518605
103,2010,04013,21.79753877355674,17.33796141924966
104,2010,04015,21.79753877355674,15.682434635461869
105,2010,04017,18.65776069556132,16.02426276570643
106,2010,04019,18.272349367319904,14.887137835035375
107,2010,04021,20.912755046349805,18.508321711317432
108,2010,04023,20.912755046349805,19.592552206834853
109,2010,04025,33.96840937927728,20.492846075682827
110,2010,04027,20.912755046349805,14.198981359673901
111,2010,05001,23.40686991632044,23.40686991632044
112,2010,05003,,
113,2010,05005,,
114,2010,05007,6.894344175510304,6.894344175510304
115,2010,05009,,
116,2010,05011,,
117,2010,05013,,
118,2010,05015,14.0056655175997,14.0056655175997
119,2010,05017,,
120,2010,05019,,
121,2010,05021,,
122,2010,05023,14.129657267500903,14.129657267500903
123,2010,05025,,
124,2010,05027,,
125,2010,05029,16.193283026200735,15.161470146850819
126,2010,05031,,
127,2010,05033,30.66688683918756,16.231654347224435
128,2010,05035,14.552996623704782,12.547750761434411
129,2010,05037,,
130,2010,05039,,
131,2010,05041,,
132,2010,05043,,
133,2010,05045,23.40686991632044,18.888319007195093
134,2010,05047,20.985342545360627,16.059537286168037
135,2010,05049,,
136,2010,05051,,
137,2010,05053,14.369768098069748,14.369768098069748
138,2010,05055,13.479464554192631,13.479464554192631
139,2010,05057,,
140,2010,05059,29.15937682246105,29.15937682246105
141,2010,05061,,
142,2010,05063,,
143,2010,05065,,
144,2010,05067,13.479464554192631,13.479464554192631
145,2010,05069,23.40686991632044,18.888319007195093
146,2010,05071,16.193283026200735,16.193283026200735
147,2010,05073,10.258251481035057,10.258251481035057
