log_Overdose_Rate_per_100k,Pct_Age_lt_18,log_Pct_Black,Potential_Years_Lost,Pct_Uninsured,log_PrimCarePhys_per_100k,Pct_Child_in_1ParentHH,Pct_Poverty,log_Spatial_Mean
2.5536299147649104,23.1,2.3978952727983707,8321.8,20.9,4.794963757620747,28.9,13.4,3.0757958734827815
2.4752647116031894,23.4,3.044522437723423,11719.6,15.6,4.653007515402251,38.2,20.9,2.8822471066712083
2.519050989555015,23.3,0.9932517730102834,9564.7,18.7,4.3476939555933765,25.6,18.2,3.5386853710394206
2.7351177908102877,25.5,1.0986122886681098,9930.3,21.1,3.8066624897703196,29.2,20.3,2.766661130085795
3.7376758683028997,23.0,3.4995332823830174,10843.4,18.4,4.3476939555933765,41.3,25.5,2.573254544650879
2.6659202623141014,23.3,2.760009940032921,11812.3,16.2,4.61015772749913,34.3,21.0,2.7855035291447328
2.557202617554874,23.8,3.735285826928092,10875.8,14.3,5.19351225218191,41.0,18.7,3.2350303808435394
2.5598349583256246,21.0,2.424802725718295,9123.7,18.2,4.318820558770089,30.0,16.4,3.226103455408039
2.460772241745291,23.8,2.6741486494265287,8680.6,19.1,4.055257173514054,28.3,13.9,2.459386253578927
2.1770955327317307,23.9,3.2308043957334744,8116.9,16.6,4.952299717083292,32.2,13.8,2.5278229128691025
2.4539483418746344,25.9,3.56953269648137,11186.3,18.5,4.741447804280639,42.1,19.7,2.8419227237604767
2.5906589088339156,24.6,2.5649493574615367,9215.9,16.9,4.594109238628667,31.2,16.8,2.3964187619178974
3.05999823924558,23.4,2.341805806147327,9448.7,18.8,3.586292865338835,23.2,17.3,2.5803396420940503
2.6130633058719446,26.2,2.451005098112319,6591.8,13.7,4.782479200958502,18.5,8.1,2.839873500108917
2.4119384178005077,22.6,3.4719664525503626,9758.3,18.8,4.9856593080260785,36.6,20.2,3.5322899600524376
4.016468024365094,22.6,2.028148247292285,15243.7,14.9,4.28496492183075,30.0,22.1,2.497934012594139
2.867508209143748,25.9,2.066862759472976,7073.7,20.8,5.1065513509260825,29.6,8.5,3.0284077169536454
3.0284077169536454,27.5,0.8754687373538999,7767.6,25.9,4.3489867805956814,25.8,11.6,2.867508209143748
2.794566659262057,26.0,0.9162907318741551,7454.8,23.5,4.855928904335275,36.8,21.6,3.175867367813599
2.782463409383034,27.3,1.824549292051046,6862.7,24.8,4.519612297626445,31.8,17.4,2.866292809930959
3.3382176405806825,21.8,0.9162907318741551,10928.8,21.4,4.01096295328305,32.9,21.7,2.8627248741502447
2.7618419701168633,30.3,0.8754687373538999,12381.0,19.0,4.447346100794524,40.3,32.4,2.794566659262057
2.9705908800935585,23.4,1.6094379124341003,7699.3,22.7,4.774912960575186,35.3,20.4,2.5674452128203114
2.4413457186723178,26.5,1.7227665977411035,9068.0,22.4,3.3214324131932926,31.1,17.4,2.880944629339331
3.3266497967092024,19.5,0.6931471805599453,8049.9,23.5,4.4331949212482815,32.6,18.4,3.0070544718008323
2.438006469270784,29.1,1.4816045409242156,6542.8,27.8,3.966511190712216,34.8,22.3,2.7860885432004383
2.5099783342170237,27.3,1.1631508098056809,6386.4,25.7,4.423648309364701,25.7,12.1,2.214376625785364
3.4233784140701093,26.4,0.9555114450274363,9695.8,22.3,4.368181227851829,27.9,18.0,2.4559398496834746
2.4876933862765775,24.2,2.4595888418037104,7912.7,24.3,4.4942386252808095,25.5,14.7,2.362130571685176
3.073704111087003,21.1,2.2192034840549946,10920.4,25.6,4.695924549256556,37.3,20.9,2.6170584230964806
2.362130571685176,24.9,3.5751506887855933,10187.5,20.3,5.36550861608836,41.0,16.6,2.5544663617043213
2.6170584230964806,24.2,1.8082887711792655,8255.7,19.2,4.37197629882038,27.1,10.0,2.7799175670625456
2.650355357092581,26.2,2.028148247292285,8899.0,23.2,5.319099905730565,30.3,21.2,3.4384278353000353
2.214376625785364,25.8,1.5260563034950492,7209.0,30.2,4.893352133481524,28.4,20.1,3.067530223700494
2.3961928536888477,23.1,2.653241964607215,5855.1,16.9,5.000584958242754,28.8,13.2,2.678809444654142
3.271406726881495,16.8,1.6094379124341003,6939.5,17.5,4.4343818650078095,23.4,14.0,3.0763583738153364
3.6411510779317093,20.9,1.0296194171811581,8669.6,20.8,4.634728988229636,33.5,22.6,2.867596245865782
3.5054030089048513,19.1,0.8329091229351039,6456.3,19.3,4.189654742026425,28.6,12.5,3.078300592179241
2.4374325737652036,24.9,2.3702437414678603,5543.9,17.6,4.859812404361672,25.6,11.9,2.6724889087937997
