State,County,Year,Unemployment_rate
AR,"Independence County, AR",2000,4.8
AR,"Izard County, AR",2000,4.6
AR,"Jackson County, AR",2000,7.4
AR,"Jefferson County, AR",2000,5.7
AR,"Johnson County, AR",2000,4.1
AR,"Lafayette County, AR",2000,5.8
AR,"Lawrence County, AR",2000,5.2
AR,"Lee County, AR",2000,7.4
AR,"Lincoln County, AR",2000,6.1
AR,"Little River County, AR",2000,4.5
AR,"Logan County, AR",2000,4.1
AR,"Lonoke County, AR",2000,3.3
AR,"Madison County, AR",2000,3.1
AR,"Marion County, AR",2000,3.8
AR,"Miller County, AR",2000,4.4
AR,"Mississippi County, AR",2000,7.7
AR,"Monroe County, AR",2000,5.0
AR,"Montgomery County, AR",2000,4.0
AR,"Nevada County, AR",2000,4.7
AR,"Newton County, AR",2000,4.3
AR,"Ouachita County, AR",2000,5.8
AR,"Perry County, AR",2000,4.9
AR,"Phillips County, AR",2000,6.1
AR,"Pike County, AR",2000,4.1
AR,"Poinsett County, AR",2000,4.7
AR,"Polk County, AR",2000,4.0
AR,"Pope County, AR",2000,4.2
AR,"Prairie County, AR",2000,4.3
AR,"Pulaski County, AR",2000,3.7
AR,"Randolph County, AR",2000,5.2
AR,"St. Francis County, AR",2000,6.9
AR,"Saline County, AR",2000,3.2
AR,"Scott County, AR",2000,3.4
AR,"Searcy County, AR",2000,4.9
AR,"Sebastian County, AR",2000,3.3
AR,"Sevier County, AR",2000,3.8
AR,"Sharp County, AR",2000,5.1
AR,"Stone County, AR",2000,4.3
AR,"Union County, AR",2000,4.7
AR,"Van Buren County, AR",2000,5.3
AR,"Washington County, AR",2000,2.9
AR,"White County, AR",2000,4.7
AR,"Woodruff County, AR",2000,6.1
AR,"Yell County, AR",2000,3.9
CA,California,2000,4.9
CA,"Alameda County, CA",2000,3.6
CA,"Alpine County, CA",2000,6.3
CA,"Amador County, CA",2000,5.1
CA,"Butte County, CA",2000,6.1
CA,"Calaveras County, CA",2000,5.5
CA,"Colusa County, CA",2000,11.4
CA,"Contra Costa County, CA",2000,3.5
CA,"Del Norte County, CA",2000,7.3
CA,"El Dorado County, CA",2000,4.1
CA,"Fresno County, CA",2000,10.3
CA,"Glenn County, CA",2000,8.4
CA,"Humboldt County, CA",2000,5.7
CA,"Imperial County, CA",2000,17.3
CA,"Inyo County, CA",2000,4.6
CA,"Kern County, CA",2000,8.2
CA,"Kings County, CA",2000,9.9
CA,"Lake County, CA",2000,7.2
CA,"Lassen County, CA",2000,7.1
CA,"Los Angeles County, CA",2000,5.4
CA,"Madera County, CA",2000,8.6
CA,"Marin County, CA",2000,2.8
CA,"Mariposa County, CA",2000,6.1
CA,"Mendocino County, CA",2000,5.5
CA,"Merced County, CA",2000,9.5
CA,"Modoc County, CA",2000,7.4
CA,"Mono County, CA",2000,4.6
CA,"Monterey County, CA",2000,7.3
CA,"Napa County, CA",2000,3.6
CA,"Nevada County, CA",2000,4.1
CA,"Orange County, CA",2000,3.5
CA,"Placer County, CA",2000,3.6
CA,"Plumas County, CA",2000,7.0
CA,"Riverside County, CA",2000,5.3
CA,"Sacramento County, CA",2000,4.3
CA,"San Benito County, CA",2000,5.9
CA,"San Bernardino County, CA",2000,4.7
CA,"San Diego County, CA",2000,3.9
CA,"San Francisco County/city, CA",2000,3.4
CA,"San Joaquin County, CA",2000,6.9
CA,"San Luis Obispo County, CA",2000,4.0
CA,"San Mateo County, CA",2000,2.8
CA,"Santa Barbara County, CA",2000,4.3
CA,"Santa Clara County, CA",2000,3.1
CA,"Santa Cruz County, CA",2000,5.1
CA,"Shasta County, CA",2000,6.0
CA,"Sierra County, CA",2000,5.8
CA,"Siskiyou County, CA",2000,7.4
CA,"Solano County, CA",2000,4.6
CA,"Sonoma County, CA",2000,3.3
CA,"Stanislaus County, CA",2000,7.7
CA,"Sutter County, CA",2000,9.3
CA,"Tehama County, CA",2000,6.4
CA,"Trinity County, CA",2000,9.7
CA,"Tulare County, CA",2000,10.3
CA,"Tuolumne County, CA",2000,5.8
CA,"Ventura County, CA",2000,4.5
CA,"Yolo County, CA",2000,5.0
CA,"Yuba County, CA",2000,7.9
CO,Colorado,2000,2.7
CO,"Adams County, CO",2000,2.7
CO,"Alamosa County, CO",2000,3.6
CO,"Arapahoe County, CO",2000,2.4
CO,"Archuleta County, CO",2000,3.2
CO,"Baca County, CO",2000,2.9
CO,"Bent County, CO",2000,3.9
CO,"Boulder County, CO",2000,2.4
CO,"Broomfield County/city, CO",2000,2.4
CO,"Chaffee County, CO",2000,3.3
