fips,jail_pop,urbanicity,year
06087,466.0,2.0,2011
06089,231.0,2.0,2011
06091,6.14,1.0,2011
06093,90.0,1.0,2011
06095,763.0,2.0,2011
06097,926.0,2.0,2011
06099,1000.0,2.0,2011
06101,263.29,2.0,2011
06103,183.0,1.0,2011
06105,51.0,1.0,2011
06107,1332.0,2.0,2011
06109,136.0,1.0,2011
06111,1532.0,2.0,2011
06113,413.0,3.0,2011
06115,379.0,2.0,2011
08001,1247.0,3.0,2011
08003,78.44,1.0,2011
08005,1187.0,3.0,2011
08007,25.57,1.0,2011
08009,6.0,1.0,2011
08011,32.14,1.0,2011
08013,438.0,2.0,2011
08014,,3.0,2011
08015,70.71,1.0,2011
08017,3.0,1.0,2011
08019,58.14,3.0,2011
08021,19.75,1.0,2011
08023,13.5,1.0,2011
08025,5.0,1.0,2011
08027,,1.0,2011
08029,50.0,1.0,2011
08031,2113.0,4.0,2011
08033,,1.0,2011
08035,261.14,3.0,2011
08037,74.86,1.0,2011
08039,23.75,3.0,2011
08041,1725.0,2.0,2011
08043,175.71,1.0,2011
08045,113.0,1.0,2011
08047,45.86,3.0,2011
08049,23.86,1.0,2011
08051,20.22,1.0,2011
08053,0.92,1.0,2011
08055,27.29,1.0,2011
08057,3.43,1.0,2011
08059,1144.0,3.0,2011
08061,4.76,1.0,2011
08063,26.5,1.0,2011
08065,9.29,1.0,2011
08067,129.66,1.0,2011
08069,457.0,2.0,2011
08071,29.14,1.0,2011
08073,29.14,1.0,2011
08075,96.81,1.0,2011
08077,459.0,2.0,2011
08079,1.64,1.0,2011
08081,54.43,1.0,2011
08083,90.0,1.0,2011
08085,64.55,1.0,2011
08087,87.0,1.0,2011
08089,47.0,1.0,2011
08091,7.45,1.0,2011
08093,130.0,3.0,2011
08095,17.04,1.0,2011
08097,16.0,1.0,2011
08099,42.99,1.0,2011
08101,580.5,2.0,2011
08103,12.71,1.0,2011
08105,26.11,1.0,2011
08107,29.0,1.0,2011
08109,16.86,1.0,2011
08111,1.77,1.0,2011
08113,,1.0,2011
08115,2.0,1.0,2011
08117,42.43,1.0,2011
08119,60.0,2.0,2011
08121,149.0,1.0,2011
08123,757.0,2.0,2011
08125,20.0,1.0,2011
09001,,2.0,2011
09003,,4.0,2011
09005,,1.0,2011
09007,,3.0,2011
09009,,2.0,2011
09011,,2.0,2011
09013,,3.0,2011
09015,,2.0,2011
10001,,2.0,2011
10003,,3.0,2011
10005,,2.0,2011
11001,3030.0,4.0,2011
12001,1033.0,2.0,2011
12003,258.43,3.0,2011
12005,850.0,2.0,2011
12007,154.71,1.0,2011
12009,1583.0,2.0,2011
12011,4973.0,3.0,2011
12013,52.43,1.0,2011
12015,545.0,2.0,2011
12017,541.0,2.0,2011
12019,435.0,3.0,2011
12021,874.0,2.0,2011
12023,242.86,1.0,2011
12027,182.86,1.0,2011
12029,85.86,1.0,2011
12031,3990.0,4.0,2011
12033,1434.0,2.0,2011
12035,130.0,2.0,2011
12037,52.0,1.0,2011
12039,185.0,2.0,2011
12041,36.86,2.0,2011
12043,271.0,1.0,2011
12045,58.0,2.0,2011
12047,54.0,1.0,2011
12049,105.0,1.0,2011
12051,180.0,1.0,2011
12053,609.0,3.0,2011
12055,396.71,2.0,2011
